,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA
0,2004-08-19,50.050049,52.082081,48.028027,50.220219,50.220219,44659000,,
1,2004-08-20,50.555557,54.594593,50.300301,54.209209,54.209209,22834300,,
2,2004-08-23,55.430431,56.796795,54.579578,54.754753,54.754753,18256100,,
3,2004-08-24,55.675674,55.855854,51.836838,52.487488,52.487488,15247300,,
4,2004-08-25,52.532532,54.054054,51.991993,53.053055,53.053055,9188600,,
5,2004-08-26,52.527527,54.02903,52.382381,54.00901,54.00901,7094800,,
6,2004-08-27,54.104103,54.364365,52.8979,53.128128,53.128128,6211700,,
7,2004-08-30,52.692692,52.797798,51.056057,51.056057,51.056057,5196700,,
8,2004-08-31,51.201202,51.906906,51.13113,51.236237,51.236237,4917800,,
9,2004-09-01,51.401402,51.536537,49.884884,50.175175,50.175175,9138200,,52.4329331
10,2004-09-02,49.644646,51.236237,49.51952,50.805805,50.805805,15118600,,52.491491700000005
11,2004-09-03,50.525524,50.920921,49.709709,50.055054,50.055054,5152400,,52.0760762
12,2004-09-07,50.555557,51.051052,49.854855,50.840839,50.840839,5847500,,51.6846848
13,2004-09-08,50.420422,51.566566,50.300301,51.201202,51.201202,4985600,,51.5560562
14,2004-09-09,51.316315,51.406406,50.550552,51.206207,51.206207,4061700,50.310798223218896,51.3713714
15,2004-09-10,50.850849,53.333332,50.700699,52.717716,52.717716,8698800,58.56991285268377,51.242242
16,2004-09-13,53.36837,54.259258,53.283283,53.803802,53.803802,7844100,63.29138694681791,51.309809400000006
17,2004-09-14,53.778778,56.056057,53.448448,55.8008,55.8008,10828900,70.04998864933194,51.7842837
18,2004-09-15,55.335335,57.172173,55.155155,56.056057,56.056057,10713000,70.79027719076235,52.2662657
19,2004-09-16,56.226227,57.957958,55.880882,57.042042,57.042042,9266300,73.51362943399036,52.9529524
20,2004-09-17,57.267269,58.803802,56.831833,58.803802,58.803802,9472500,77.54262267166719,53.752752099999995
21,2004-09-20,58.533535,60.860863,58.443443,59.739738,59.739738,10628700,79.34056827978223,54.7212205
22,2004-09-21,59.964966,60.270271,58.813812,58.978977,58.978977,7228700,74.14440634577949,55.53503430000001
23,2004-09-22,58.758759,59.894894,58.463463,59.249249,59.249249,7581200,74.77642728830673,56.339839000000005
24,2004-09-23,59.479481,61.376377,58.568569,60.47047,60.47047,8535600,77.45776667596606,57.26626530000001
25,2004-09-24,60.530529,62.112114,59.939941,59.974976,59.974976,9123400,74.01964680073512,57.991991299999995
26,2004-09-27,59.83984,60.5005,58.958958,59.18919,59.18919,7066100,68.80386461139322,58.53053010000001
27,2004-09-28,60.710712,63.763763,60.165165,63.493492,63.493492,16929000,77.9637979877479,59.299799300000004
28,2004-09-29,63.413414,67.577576,63.178177,65.605606,65.605606,30516400,80.92374502841965,60.2547542
29,2004-09-30,65.015015,66.216217,64.564568,64.864868,64.864868,13758000,77.016566105326,61.037036799999996
30,2004-10-01,65.465462,67.187187,64.514511,66.356354,66.356354,15124800,79.19477253062853,61.792291999999996
31,2004-10-04,67.692696,68.503502,67.082085,67.597595,67.597595,13022700,80.82359214841334,62.578077699999994
32,2004-10-05,67.3974,69.334335,66.186188,69.254257,69.254257,14973200,82.76322293629221,63.6056057
33,2004-10-06,68.843842,69.294296,68.068069,68.608612,68.608612,13381400,79.39285141794753,64.541542
34,2004-10-07,68.528526,70.01001,68.343346,69.494492,69.494492,14115000,80.56247758811253,65.4439442
35,2004-10-08,69.429428,69.909912,68.578575,68.933937,68.933937,11069500,77.56255998534019,66.33984029999999
36,2004-10-11,68.568565,69.499496,66.991989,67.697701,67.697701,10472100,71.26035755800008,67.19069139999999
37,2004-10-12,67.287285,68.873871,66.766769,68.768768,68.768768,11665500,73.28563707917195,67.718219
38,2004-10-13,71.731735,71.846848,70.110107,70.520523,70.520523,19766200,76.23533001909742,68.2097107
39,2004-10-14,70.575577,71.261261,69.34935,71.071068,71.071068,10442100,77.09144828142828,68.8303307
40,2004-10-15,72.537537,72.822823,71.046043,72.127129,72.127129,13194700,78.67819226987909,69.40740819999999
41,2004-10-18,71.671669,74.674675,70.675674,74.654655,74.654655,14036300,81.90806592960111,70.1131142
42,2004-10-19,75.325325,76.276276,73.748749,74.044044,74.044044,18109800,78.80240072833053,70.5920929
43,2004-10-20,74.089088,74.569572,69.869873,70.315315,70.315315,22722600,63.07473473602196,70.7627632
44,2004-10-21,72.27227,75.140137,70.880882,74.764763,74.764763,29149800,70.61215275056765,71.28979029999999
45,2004-10-22,85.355354,90.175179,82.122124,86.3013,86.3013,73710000,81.28128377992023,73.0265266
46,2004-10-25,88.288292,97.312309,86.361359,93.793793,93.793793,65462800,85.07184125165213,75.6361358
47,2004-10-26,93.26326,96.41642,90.090088,90.99099,90.99099,44569500,78.65523254907946,77.858358
48,2004-10-27,91.451454,94.854858,90.975975,93.078079,93.078079,26686200,79.87264967796315,80.11411360000001
49,2004-10-28,93.433434,97.29229,92.892891,96.74675,96.74675,29663900,81.83401875038506,82.6816818
50,2004-10-29,99.544548,100.075073,95.395393,95.415413,95.415413,42282600,78.83182832917657,85.0105102
51,2004-11-01,96.871872,98.933937,95.730728,98.113113,98.113113,24425300,80.40085998110757,87.35635599999999
52,2004-11-02,99.489487,99.724724,96.766769,97.532532,97.532532,22669900,79.04296731792516,89.7052048
53,2004-11-03,99.189186,100.900902,95.470474,95.930931,95.930931,27749600,75.26652538770914,92.26676640000001
54,2004-11-04,94.314316,95.295296,91.766769,92.442444,92.442444,28790300,67.68150042513291,94.03453449999999
55,2004-11-05,91.081078,91.241241,84.35936,84.759758,84.759758,39626500,54.62547393412189,93.8803803
56,2004-11-08,85.550552,87.807808,84.784782,86.361359,86.361359,22361200,56.508978112766236,93.1371369
57,2004-11-09,87.137138,87.687691,82.71772,84.434433,84.434433,22106200,53.62484106683333,92.48148119999999
58,2004-11-10,85.420418,86.346344,83.248245,84.014015,84.014015,21266700,52.989381043446365,91.5750748
59,2004-11-11,84.649651,91.966965,83.868866,91.601601,91.601601,29941000,61.789885439123495,91.0605599
60,2004-11-12,92.70771,94.994995,88.788788,91.091087,91.091087,33458700,60.96295999776082,90.6281273
61,2004-11-15,90.315315,94.254257,89.464462,92.527527,92.527527,23779100,62.4843008431623,90.0695687
62,2004-11-16,88.838837,89.824821,85.500504,86.356354,86.356354,41792900,52.93898746991135,88.9519509
63,2004-11-17,84.594597,88.838837,84.584587,86.336334,86.336334,36229500,52.91074880115909,87.99249119999999
64,2004-11-18,85.230232,87.297295,82.947945,83.853851,83.853851,33225900,49.392424813944785,87.1336319
65,2004-11-19,84.634636,85.075073,83.343346,84.784782,84.784782,17521000,50.71589656125963,87.13613430000001
66,2004-11-22,82.317314,84.834831,80.735733,82.632629,82.632629,24711600,47.61569716928864,86.7632613
67,2004-11-23,84.069069,85.500504,83.333336,83.843842,83.843842,24801700,49.48715237152881,86.7042022
68,2004-11-24,87.497498,88.693695,86.341339,87.467468,87.467468,30531400,54.70117305928825,87.0495475
69,2004-11-26,87.987991,90.105103,87.747749,89.784782,89.784782,12947200,57.707656720719044,86.86786559999999
70,2004-11-29,90.270271,91.566566,88.843842,90.615616,90.615616,21311800,58.76437336911046,86.8203185
71,2004-11-30,90.445442,91.591591,90.215218,91.081078,91.081078,15384600,59.37676043422747,86.67567360000001
72,2004-12-01,91.066063,91.341339,89.864868,90.070068,90.070068,15712400,57.3833567206706,87.047045
73,2004-12-02,90.040039,90.845848,89.364365,89.789787,89.789787,12509200,56.81390579765388,87.3923903
74,2004-12-03,90.065063,90.620621,88.888885,90.290291,90.290291,11726600,57.62263454934604,88.03603430000001
75,2004-12-06,89.654655,90.440437,88.098099,88.233231,88.233231,12495400,53.212079220532466,88.38087920000001
